field_analysis_valid,rf_timestamp_utc,operating_frequency_mhz,channel_bandwidth_mhz,dl_rssi_dbm,ul_rssi_dbm,dl_snr_db,ul_snr_db,dl_mcs,ul_mcs,cu01_local_temp_avg_c,cu01_local_hum_avg_pct,cu01_local_press_hpa,sj01_local_temp_avg_c,sj01_local_hum_avg_pct,sj01_local_press_hpa,sj01_local_wind_speed_ms
1,2026-09-01T20:02:51+00:00,7000.0,20.0,-74.0,-81.0,23.0,17.0,204.0,202.0,27.81,33.42,738.96,15.66,49.41,663.61,9.3
1,2026-09-01T20:07:52+00:00,7000.0,20.0,-75.0,-82.0,22.0,17.0,204.0,202.0,27.3,34.06,738.83,14.07,54.04,663.44,10.8
1,2026-09-01T20:12:53+00:00,7000.0,20.0,-74.0,-81.0,23.0,18.0,204.0,202.0,26.27,36.17,738.91,13.88,55.42,663.51,10.9
1,2026-09-01T20:17:54+00:00,7000.0,20.0,-74.0,-81.0,23.0,18.0,204.0,202.0,26.61,35.77,738.9,15.78,50.35,663.48,9.8
1,2026-09-01T20:22:54+00:00,7000.0,20.0,-74.0,-82.0,23.0,17.0,204.0,203.0,26.77,35.26,738.87,16.32,48.74,663.51,9.1
1,2026-09-01T20:27:55+00:00,7000.0,20.0,-75.0,-81.0,22.0,18.0,204.0,202.0,26.82,35.99,738.83,17.16,48.26,663.43,11.3
1,2026-09-01T20:32:56+00:00,7000.0,20.0,-74.0,-81.0,23.0,18.0,204.0,202.0,27.69,34.07,738.79,17.02,47.72,663.45,11.2
1,2026-09-01T20:37:56+00:00,7000.0,20.0,-74.0,-81.0,23.0,18.0,204.0,202.0,28.1,34.04,738.8,16.9,48.18,663.48,9.1
1,2026-09-01T20:42:57+00:00,7000.0,20.0,-74.0,-81.0,23.0,18.0,204.0,202.0,28.42,33.73,738.68,16.62,48.09,663.48,12.1
1,2026-09-01T20:47:57+00:00,7000.0,20.0,-75.0,-81.0,23.0,17.0,204.0,202.0,28.55,33.06,738.68,17.01,47.04,663.51,7.4
1,2026-09-01T20:52:58+00:00,7000.0,20.0,-75.0,-80.0,23.0,18.0,204.0,202.0,28.02,34.31,738.69,17.66,46.79,663.45,5.9
1,2026-09-01T20:57:59+00:00,7000.0,20.0,-74.0,-81.0,23.0,17.0,204.0,203.0,28.85,33.02,738.66,17.08,48.26,663.47,9.0
1,2026-09-01T21:02:59+00:00,7000.0,20.0,-74.0,-81.0,23.0,17.0,204.0,202.0,29.28,32.01,738.54,16.38,49.98,663.49,8.0
1,2026-09-01T21:08:00+00:00,7000.0,20.0,-75.0,-80.0,23.0,19.0,204.0,202.0,29.39,32.02,738.63,16.28,51.66,663.37,9.2
1,2026-09-01T21:13:01+00:00,7000.0,20.0,-74.0,-82.0,23.0,17.0,204.0,202.0,29.51,31.85,738.5,16.1,52.53,663.52,7.4
1,2026-09-01T21:18:02+00:00,7000.0,20.0,-75.0,-82.0,23.0,17.0,204.0,202.0,29.57,31.5,738.55,15.12,55.42,663.47,8.1
1,2026-09-01T21:23:02+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,202.0,29.44,32.29,738.57,15.84,53.77,663.41,7.7
1,2026-09-01T21:28:03+00:00,7000.0,20.0,-75.0,-81.0,23.0,18.0,204.0,202.0,29.24,32.17,738.58,14.3,57.87,663.38,9.4
1,2026-09-01T21:33:04+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,202.0,28.62,39.14,738.5,13.5,60.54,663.36,9.5
1,2026-09-01T21:38:04+00:00,7000.0,20.0,-75.0,-82.0,23.0,17.0,204.0,203.0,28.41,33.69,738.57,14.46,58.63,663.4,7.0
1,2026-09-01T21:43:05+00:00,7000.0,20.0,-74.0,-81.0,23.0,17.0,204.0,202.0,28.29,33.42,738.57,15.32,57.15,663.48,8.1
1,2026-09-01T21:53:06+00:00,7000.0,20.0,-74.0,-81.0,24.0,18.0,204.0,203.0,28.21,34.13,738.61,14.63,59.01,663.52,6.2
1,2026-09-01T21:58:07+00:00,7000.0,20.0,-74.0,-82.0,23.0,17.0,204.0,203.0,28.1,33.9,738.54,12.82,64.58,663.5,5.2
1,2026-09-01T22:03:08+00:00,7000.0,20.0,-74.0,-81.0,23.0,19.0,204.0,202.0,27.97,33.94,738.59,11.4,70.8,663.54,4.6
1,2026-09-01T22:08:09+00:00,7000.0,20.0,-75.0,-80.0,23.0,18.0,204.0,203.0,27.8,34.7,738.69,10.86,72.23,663.6,4.5
1,2026-09-01T22:13:09+00:00,7000.0,20.0,-75.0,-81.0,22.0,17.0,204.0,202.0,27.61,34.92,754.68,13.36,64.01,663.65,3.6
1,2026-09-01T22:18:10+00:00,7000.0,20.0,-75.0,-80.0,23.0,19.0,204.0,202.0,27.54,34.87,738.84,14.27,60.5,663.76,3.8
1,2026-09-01T22:23:11+00:00,7000.0,20.0,-74.0,-81.0,23.0,18.0,204.0,202.0,27.19,35.62,738.92,13.7,61.43,663.76,5.9
1,2026-09-01T22:28:12+00:00,7000.0,20.0,-74.0,-81.0,23.0,18.0,204.0,202.0,27.0,40.78,738.95,11.92,67.64,663.78,4.4
1,2026-09-01T22:38:13+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,202.0,26.23,36.93,739.05,10.72,73.57,663.92,4.1
1,2026-09-01T22:43:14+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,25.82,37.52,739.07,10.16,76.55,663.9,5.2
1,2026-09-01T22:48:15+00:00,7000.0,20.0,-75.0,-81.0,23.0,18.0,204.0,202.0,25.3,38.63,739.19,9.87,77.72,663.97,5.5
1,2026-09-01T22:53:21+00:00,7000.0,20.0,-74.0,-81.0,23.0,19.0,204.0,202.0,24.81,39.17,739.27,9.7,78.78,664.03,5.3
1,2026-09-01T22:58:22+00:00,7000.0,20.0,-73.0,-80.0,24.0,19.0,204.0,202.0,24.49,39.91,739.3,9.57,79.0,664.07,3.1
1,2026-09-01T23:03:22+00:00,7000.0,20.0,-73.0,-80.0,24.0,18.0,204.0,202.0,24.21,40.38,739.33,9.41,79.77,664.14,3.5
1,2026-09-01T23:08:23+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,202.0,23.95,40.81,739.44,9.32,80.57,664.19,2.4
1,2026-09-01T23:13:26+00:00,7000.0,20.0,-73.0,-80.0,24.0,19.0,204.0,202.0,23.56,41.86,739.45,9.14,82.85,664.25,3.2
1,2026-09-01T23:18:27+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,202.0,23.29,42.22,739.54,8.97,84.07,664.25,2.8
1,2026-09-01T23:23:27+00:00,7000.0,20.0,-74.0,-80.0,24.0,18.0,204.0,202.0,23.09,42.31,739.58,8.86,84.98,664.3,2.6
1,2026-09-01T23:28:28+00:00,7000.0,20.0,-74.0,-81.0,23.0,18.0,204.0,203.0,22.79,43.5,739.7,8.74,85.32,664.34,2.4
1,2026-09-01T23:33:29+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,22.57,44.17,739.79,8.61,86.2,664.47,1.8
1,2026-09-01T23:38:30+00:00,7000.0,20.0,-73.0,-80.0,24.0,18.0,204.0,203.0,22.28,44.89,739.82,8.52,85.62,664.42,2.5
1,2026-09-01T23:43:30+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,202.0,22.09,45.27,739.84,8.48,85.65,664.41,1.0
1,2026-09-01T23:53:32+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,202.0,21.72,46.01,739.91,8.3,88.86,664.44,2.3
1,2026-09-01T23:58:32+00:00,7000.0,20.0,-73.0,-80.0,24.0,19.0,204.0,203.0,21.63,46.19,739.89,8.21,89.33,664.48,1.1
1,2026-09-02T00:03:33+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,202.0,21.36,46.67,740.01,8.09,90.58,664.4,1.4
1,2026-09-02T00:08:34+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,21.35,46.73,740.09,8.02,90.88,664.46,0.7
1,2026-09-02T00:13:35+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,202.0,21.33,46.57,740.16,7.89,91.45,664.5,1.7
1,2026-09-02T00:18:36+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,202.0,21.33,46.82,740.17,7.88,91.81,664.55,1.4
1,2026-09-02T00:23:36+00:00,7000.0,20.0,-73.0,-80.0,24.0,19.0,204.0,203.0,21.16,47.21,756.98,7.84,92.09,664.61,0.3
1,2026-09-02T00:28:38+00:00,7000.0,20.0,-73.0,-80.0,24.0,18.0,204.0,202.0,21.02,47.32,740.3,7.7,92.41,664.62,0.5
1,2026-09-02T00:33:39+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,202.0,21.03,47.17,740.39,7.52,92.68,664.67,0.1
1,2026-09-02T01:04:07+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,21.06,47.02,740.97,7.81,93.96,665.0,0.7
1,2026-09-02T01:09:08+00:00,7000.0,20.0,-74.0,-81.0,23.0,18.0,204.0,202.0,20.98,47.68,741.04,7.84,94.05,665.04,1.0
1,2026-09-02T01:14:09+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,202.0,21.11,47.2,741.07,7.81,93.98,665.15,2.4
1,2026-09-02T01:19:09+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,21.24,51.09,741.18,7.76,94.16,665.12,2.1
1,2026-09-02T01:24:10+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,21.03,47.25,757.99,7.76,94.23,665.17,2.4
1,2026-09-02T01:29:11+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,20.95,47.5,741.22,7.74,94.4,665.23,3.3
1,2026-09-02T01:34:11+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,202.0,21.05,47.41,741.26,7.67,94.65,665.2,3.8
1,2026-09-02T01:39:12+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,20.82,47.77,741.32,7.57,95.01,665.25,0.3
1,2026-09-02T01:44:13+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,202.0,20.73,47.97,750.34,7.5,95.13,665.29,2.4
1,2026-09-02T01:49:13+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,202.0,20.65,48.19,741.58,7.42,94.81,665.33,2.8
1,2026-09-02T01:54:14+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,20.57,48.35,741.59,7.45,94.54,665.37,2.5
1,2026-09-02T01:59:15+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,20.47,48.23,741.62,7.48,94.68,665.4,2.8
1,2026-09-02T02:04:15+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,20.41,48.71,741.67,7.41,94.97,665.44,3.4
1,2026-09-02T02:09:16+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,20.28,48.48,741.74,7.26,95.2,665.46,4.5
1,2026-09-02T02:14:20+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,20.1,48.59,741.74,7.17,95.4,665.48,3.5
1,2026-09-02T02:19:20+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,19.98,48.78,741.83,7.13,95.83,665.47,2.2
1,2026-09-02T02:24:21+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,19.9,49.04,741.88,7.13,96.1,665.52,2.3
1,2026-09-02T02:29:22+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,202.0,19.95,49.63,742.03,7.08,96.25,665.65,3.1
1,2026-09-02T02:34:23+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,20.0,49.27,742.11,6.99,96.38,665.72,2.3
1,2026-09-02T02:39:24+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,20.01,49.22,742.16,6.98,96.48,665.84,1.6
1,2026-09-02T02:44:24+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,202.0,20.11,49.04,742.18,6.93,96.42,665.81,1.4
1,2026-09-02T02:49:25+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,203.0,202.0,20.0,49.89,742.22,7.07,96.56,665.82,2.6
1,2026-09-02T02:54:26+00:00,7000.0,20.0,-74.0,-80.0,24.0,18.0,204.0,203.0,19.81,50.43,742.2,7.0,96.55,665.81,2.0
1,2026-09-02T02:59:29+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,19.76,50.52,742.22,7.03,96.79,665.8,3.4
1,2026-09-02T03:04:30+00:00,7000.0,20.0,-74.0,-80.0,24.0,18.0,204.0,202.0,19.56,51.18,742.2,6.96,96.78,665.79,3.8
1,2026-09-02T03:09:31+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,202.0,19.43,51.12,742.2,6.95,97.09,665.85,1.4
1,2026-09-02T03:14:32+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,19.37,51.15,742.31,6.95,97.13,665.81,1.8
1,2026-09-02T03:19:33+00:00,7000.0,20.0,-75.0,-80.0,22.0,18.0,204.0,203.0,19.37,50.65,742.41,6.88,97.22,665.9,1.7
1,2026-09-02T03:24:33+00:00,7000.0,20.0,-75.0,-80.0,22.0,18.0,204.0,203.0,19.32,50.59,742.52,6.72,97.1,665.93,2.1
1,2026-09-02T03:29:34+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,19.16,50.78,742.47,6.6,97.18,666.06,1.4
1,2026-09-02T03:34:35+00:00,7000.0,20.0,-74.0,-81.0,23.0,18.0,204.0,203.0,18.96,51.95,742.48,6.77,97.52,666.1,1.7
1,2026-09-02T03:39:35+00:00,7000.0,20.0,-75.0,-80.0,22.0,19.0,204.0,203.0,18.67,51.98,742.39,6.79,97.51,666.06,0.6
1,2026-09-02T03:44:36+00:00,7000.0,20.0,-74.0,-81.0,23.0,19.0,204.0,202.0,18.51,52.49,742.41,6.61,97.28,665.99,2.6
1,2026-09-02T03:49:37+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,18.49,53.11,742.35,6.38,97.1,665.98,0.8
1,2026-09-02T03:54:38+00:00,7000.0,20.0,-75.0,-80.0,23.0,19.0,204.0,203.0,18.36,52.08,742.34,6.41,97.29,665.97,0.1
1,2026-09-02T03:59:38+00:00,7000.0,20.0,-75.0,-81.0,22.0,18.0,204.0,103.0,18.24,52.97,742.35,6.37,97.13,665.92,0.0
1,2026-09-02T04:04:39+00:00,7000.0,20.0,-74.0,-80.0,23.0,20.0,204.0,203.0,18.06,53.26,742.33,6.1,96.58,665.88,0.0
1,2026-09-02T04:09:43+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,18.05,56.94,742.34,5.95,96.46,665.85,0.3
1,2026-09-02T04:14:44+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,202.0,18.0,56.85,742.35,5.96,94.5,665.89,0.0
1,2026-09-02T04:19:45+00:00,7000.0,20.0,-75.0,-80.0,23.0,19.0,204.0,203.0,17.88,52.73,742.41,6.26,90.24,665.86,0.5
1,2026-09-02T04:24:45+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,17.75,53.11,742.34,6.37,87.01,665.82,0.1
1,2026-09-02T04:29:46+00:00,7000.0,20.0,-74.0,-79.0,23.0,19.0,204.0,203.0,17.76,53.03,742.33,6.56,85.23,665.83,0.0
1,2026-09-02T04:34:47+00:00,7000.0,20.0,-75.0,-80.0,22.0,19.0,204.0,203.0,17.71,53.35,742.34,6.47,85.3,665.78,0.0
1,2026-09-02T04:39:48+00:00,7000.0,20.0,-75.0,-80.0,23.0,18.0,204.0,203.0,17.49,53.46,742.37,6.64,83.17,665.76,0.0
1,2026-09-02T04:44:48+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,17.35,54.11,742.35,6.78,82.27,665.7,0.3
1,2026-09-02T04:49:49+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,17.31,54.09,759.66,6.9,80.64,665.69,0.0
1,2026-09-02T04:54:50+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,17.38,54.33,742.32,6.83,80.96,665.63,0.4
1,2026-09-02T04:59:50+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,17.47,53.77,742.33,6.95,79.91,665.58,1.3
1,2026-09-02T05:04:51+00:00,7000.0,20.0,-74.0,-80.0,24.0,18.0,204.0,203.0,17.46,53.99,742.33,7.0,79.92,665.56,2.0
1,2026-09-02T05:09:52+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,17.24,54.23,742.31,6.94,80.19,665.64,0.4
1,2026-09-02T05:14:52+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,17.1,54.63,742.3,6.64,82.15,665.56,0.0
1,2026-09-02T05:19:53+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,16.91,54.9,742.22,6.64,82.35,665.55,0.8
1,2026-09-02T05:24:54+00:00,7000.0,20.0,-73.0,-80.0,24.0,19.0,204.0,203.0,16.96,58.72,742.28,6.42,85.42,665.47,0.5
1,2026-09-02T05:29:54+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,16.88,55.24,742.25,6.32,82.44,665.51,0.5
1,2026-09-02T05:34:55+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,16.72,55.74,742.26,6.39,85.37,665.48,3.1
1,2026-09-02T05:39:56+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,16.63,56.04,742.36,6.27,87.68,665.55,1.2
1,2026-09-02T05:44:57+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,16.62,55.82,742.31,6.03,90.37,665.64,1.7
1,2026-09-02T05:49:57+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,16.51,56.24,742.32,5.99,93.43,665.58,0.0
1,2026-09-02T05:54:58+00:00,7000.0,20.0,-75.0,-80.0,23.0,19.0,204.0,203.0,16.48,57.1,742.26,5.79,93.33,665.57,0.6
1,2026-09-02T05:59:59+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,16.45,55.85,742.23,5.77,93.08,665.51,2.8
1,2026-09-02T06:05:00+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,16.32,56.49,742.19,5.78,90.6,665.49,0.7
1,2026-09-02T06:10:01+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,202.0,16.19,56.52,742.11,6.22,82.58,665.41,0.3
1,2026-09-02T06:15:02+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,15.99,58.07,742.09,6.37,82.96,665.36,0.0
1,2026-09-02T06:20:02+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,15.93,58.94,742.04,6.31,82.63,665.34,1.8
1,2026-09-02T06:25:03+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,15.87,62.98,742.02,6.36,81.92,665.3,0.0
1,2026-09-02T06:30:03+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,15.96,58.92,742.07,6.24,82.91,665.27,0.0
1,2026-09-02T06:35:04+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,16.02,58.65,759.53,6.3,81.77,665.16,2.8
1,2026-09-02T06:40:05+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,15.98,58.16,742.12,6.4,81.44,665.27,0.7
1,2026-09-02T06:45:05+00:00,7000.0,20.0,-75.0,-80.0,23.0,18.0,204.0,203.0,16.09,57.74,742.17,6.23,81.85,665.25,2.1
1,2026-09-02T06:50:06+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,16.19,57.3,742.15,6.17,82.18,665.25,0.7
1,2026-09-02T06:55:07+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,16.24,57.05,742.14,6.25,79.1,665.26,0.9
1,2026-09-02T07:00:09+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,16.11,57.6,742.21,6.34,78.47,665.17,0.6
1,2026-09-02T07:05:10+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,15.93,57.98,742.08,6.41,78.58,665.17,0.0
1,2026-09-02T07:10:14+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,15.87,58.58,742.08,6.38,78.88,665.12,3.8
1,2026-09-02T07:15:15+00:00,7000.0,20.0,-75.0,-80.0,22.0,19.0,203.0,202.0,15.78,61.7,741.97,6.39,83.31,665.19,0.9
1,2026-09-02T07:20:16+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,15.68,57.91,741.96,5.94,87.26,665.18,2.7
1,2026-09-02T07:25:16+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,15.55,58.84,741.93,5.87,83.93,665.07,0.0
1,2026-09-02T07:30:18+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,15.45,58.46,741.85,5.92,84.02,665.0,0.6
1,2026-09-02T07:35:19+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,15.37,58.82,741.83,5.96,81.85,665.03,0.1
1,2026-09-02T07:40:19+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,15.41,59.21,741.88,6.0,81.38,664.94,0.0
1,2026-09-02T07:45:20+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,15.31,59.66,741.96,5.85,82.68,665.01,0.1
1,2026-09-02T07:50:21+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,15.21,60.18,741.94,5.76,82.87,665.0,0.0
1,2026-09-02T07:55:22+00:00,7000.0,20.0,-74.0,-81.0,23.0,18.0,204.0,203.0,15.32,58.72,741.9,5.84,82.17,665.01,0.0
1,2026-09-02T08:00:23+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,15.3,59.34,741.82,5.72,82.34,664.98,0.0
1,2026-09-02T08:05:24+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,15.2,62.18,741.82,5.69,82.34,664.96,0.0
1,2026-09-02T08:10:25+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,15.15,59.71,741.8,5.62,82.69,665.06,0.7
1,2026-09-02T08:15:27+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,15.13,62.87,741.69,5.73,81.46,664.92,0.8
1,2026-09-02T08:20:27+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,15.04,58.68,741.84,5.92,80.35,664.85,0.5
1,2026-09-02T08:25:28+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,15.06,59.5,741.86,5.71,80.32,664.88,0.0
1,2026-09-02T08:30:29+00:00,7000.0,20.0,-74.0,-80.0,24.0,19.0,204.0,203.0,15.09,59.47,741.83,5.55,79.9,664.87,2.2
1,2026-09-02T08:35:30+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,14.96,59.46,741.87,5.63,79.33,664.92,1.0
1,2026-09-02T08:40:31+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,14.83,60.39,741.96,5.78,78.21,664.92,1.3
1,2026-09-02T08:45:31+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,203.0,14.71,60.69,742.02,5.84,78.02,664.91,0.7
1,2026-09-02T08:50:32+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,14.66,60.3,742.08,5.93,77.49,664.91,0.2
1,2026-09-02T08:55:33+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,203.0,14.59,60.62,742.03,5.85,77.5,665.0,0.4
1,2026-09-02T09:00:33+00:00,7000.0,20.0,-75.0,-80.0,22.0,19.0,204.0,203.0,14.48,60.93,742.02,5.81,77.38,664.94,1.9
